admode nboctets nbopcodes opcode1 opcode2 nbdata data1 data2 data3 data4 data5 mnemonic
0 2 2 00000018 00000006 0 -1 -1 -1 -1 -1 ABA
1 2 1 00000089 FFFFFFFF 1 0 -1 -1 -1 -1 ADCA
2 2 1 00000099 FFFFFFFF 1 1 -1 -1 -1 -1 ADCA
3 3 1 000000B9 FFFFFFFF 2 2 3 -1 -1 -1 ADCA
5 2 1 000000A9 FFFFFFFF 1 4 -1 -1 -1 -1 ADCA
6 3 1 000000A9 FFFFFFFF 2 4 6 -1 -1 -1 ADCA
7 4 1 000000A9 FFFFFFFF 3 4 5 6 -1 -1 ADCA
9 2 1 000000A9 FFFFFFFF 1 4 -1 -1 -1 -1 ADCA
8 4 1 000000A9 FFFFFFFF 3 4 5 6 -1 -1 ADCA
1 2 1 000000C9 FFFFFFFF 1 0 -1 -1 -1 -1 ADCB
2 2 1 000000D9 FFFFFFFF 1 1 -1 -1 -1 -1 ADCB
3 3 1 000000F9 FFFFFFFF 2 2 3 -1 -1 -1 ADCB
5 2 1 000000E9 FFFFFFFF 1 4 -1 -1 -1 -1 ADCB
6 3 1 000000E9 FFFFFFFF 2 4 6 -1 -1 -1 ADCB
7 4 1 000000E9 FFFFFFFF 3 4 5 6 -1 -1 ADCB
9 2 1 000000E9 FFFFFFFF 1 4 -1 -1 -1 -1 ADCB
8 4 1 000000E9 FFFFFFFF 3 4 5 6 -1 -1 ADCB
1 2 1 0000008B FFFFFFFF 1 0 -1 -1 -1 -1 ADDA
2 2 1 0000009B FFFFFFFF 1 1 -1 -1 -1 -1 ADDA
3 3 1 000000BB FFFFFFFF 2 2 3 -1 -1 -1 ADDA
5 2 1 000000AB FFFFFFFF 1 4 -1 -1 -1 -1 ADDA
6 3 1 000000AB FFFFFFFF 2 4 6 -1 -1 -1 ADDA
7 4 1 000000AB FFFFFFFF 3 4 5 6 -1 -1 ADDA
9 2 1 000000AB FFFFFFFF 1 4 -1 -1 -1 -1 ADDA
8 4 1 000000AB FFFFFFFF 3 4 5 6 -1 -1 ADDA
1 2 1 000000CB FFFFFFFF 1 0 -1 -1 -1 -1 ADDB
2 2 1 000000DB FFFFFFFF 1 1 -1 -1 -1 -1 ADDB
3 3 1 000000FB FFFFFFFF 2 2 3 -1 -1 -1 ADDB
5 2 1 000000EB FFFFFFFF 1 4 -1 -1 -1 -1 ADDB
6 3 1 000000EB FFFFFFFF 2 4 6 -1 -1 -1 ADDB
7 4 1 000000EB FFFFFFFF 3 4 5 6 -1 -1 ADDB
9 2 1 000000EB FFFFFFFF 1 4 -1 -1 -1 -1 ADDB
8 4 1 000000EB FFFFFFFF 3 4 5 6 -1 -1 ADDB
1 3 1 000000C3 FFFFFFFF 2 7 8 -1 -1 -1 ADDD
2 2 1 000000D3 FFFFFFFF 1 1 -1 -1 -1 -1 ADDD
3 3 1 000000F3 FFFFFFFF 2 2 3 -1 -1 -1 ADDD
5 2 1 000000E3 FFFFFFFF 1 4 -1 -1 -1 -1 ADDD
6 3 1 000000E3 FFFFFFFF 2 4 6 -1 -1 -1 ADDD
7 4 1 000000E3 FFFFFFFF 3 4 5 6 -1 -1 ADDD
9 2 1 000000E3 FFFFFFFF 1 4 -1 -1 -1 -1 ADDD
8 4 1 000000E3 FFFFFFFF 3 4 5 6 -1 -1 ADDD
1 2 1 00000084 FFFFFFFF 1 0 -1 -1 -1 -1 ANDA
2 2 1 00000094 FFFFFFFF 1 1 -1 -1 -1 -1 ANDA
3 3 1 000000B4 FFFFFFFF 2 2 3 -1 -1 -1 ANDA
5 2 1 000000A4 FFFFFFFF 1 4 -1 -1 -1 -1 ANDA
6 3 1 000000A4 FFFFFFFF 2 4 6 -1 -1 -1 ANDA
7 4 1 000000A4 FFFFFFFF 3 4 5 6 -1 -1 ANDA
9 2 1 000000A4 FFFFFFFF 1 4 -1 -1 -1 -1 ANDA
8 4 1 000000A4 FFFFFFFF 3 4 5 6 -1 -1 ANDA
1 2 1 000000C4 FFFFFFFF 1 0 -1 -1 -1 -1 ANDB
2 2 1 000000D4 FFFFFFFF 1 1 -1 -1 -1 -1 ANDB
3 3 1 000000F4 FFFFFFFF 2 2 3 -1 -1 -1 ANDB
5 2 1 000000E4 FFFFFFFF 1 4 -1 -1 -1 -1 ANDB
6 3 1 000000E4 FFFFFFFF 2 4 6 -1 -1 -1 ANDB
7 4 1 000000E4 FFFFFFFF 3 4 5 6 -1 -1 ANDB
9 2 1 000000E4 FFFFFFFF 1 4 -1 -1 -1 -1 ANDB
8 4 1 000000E4 FFFFFFFF 3 4 5 6 -1 -1 ANDB
1 2 1 00000010 FFFFFFFF 1 0 -1 -1 -1 -1 ANDCC
3 3 1 00000078 FFFFFFFF 2 2 3 -1 -1 -1 ASL
5 2 1 00000068 FFFFFFFF 1 4 -1 -1 -1 -1 ASL
6 3 1 00000068 FFFFFFFF 2 4 6 -1 -1 -1 ASL
7 4 1 00000068 FFFFFFFF 3 4 5 6 -1 -1 ASL
9 2 1 00000068 FFFFFFFF 1 4 -1 -1 -1 -1 ASL
8 4 1 00000068 FFFFFFFF 3 4 5 6 -1 -1 ASL
0 1 1 00000048 FFFFFFFF 0 -1 -1 -1 -1 -1 ASLA
0 1 1 00000058 FFFFFFFF 0 -1 -1 -1 -1 -1 ASLB
0 1 1 00000059 FFFFFFFF 0 -1 -1 -1 -1 -1 ASLD
3 3 1 00000077 FFFFFFFF 2 2 3 -1 -1 -1 ASR
5 2 1 00000067 FFFFFFFF 1 4 -1 -1 -1 -1 ASR
6 3 1 00000067 FFFFFFFF 2 4 6 -1 -1 -1 ASR
7 4 1 00000067 FFFFFFFF 3 4 5 6 -1 -1 ASR
9 2 1 00000067 FFFFFFFF 1 4 -1 -1 -1 -1 ASR
8 4 1 00000067 FFFFFFFF 3 4 5 6 -1 -1 ASR
0 1 1 00000047 FFFFFFFF 0 -1 -1 -1 -1 -1 ASRA
0 1 1 00000057 FFFFFFFF 0 -1 -1 -1 -1 -1 ASRB
4 2 1 00000024 FFFFFFFF 1 12 -1 -1 -1 -1 BCC
2 3 1 0000004D FFFFFFFF 2 1 9 -1 -1 -1 BCLR
3 4 1 0000001D FFFFFFFF 3 2 3 9 -1 -1 BCLR
5 3 1 0000000D FFFFFFFF 2 4 9 -1 -1 -1 BCLR
6 4 1 0000000D FFFFFFFF 3 4 6 9 -1 -1 BCLR
7 5 1 0000000D FFFFFFFF 4 4 5 6 9 -1 BCLR
4 2 1 00000025 FFFFFFFF 1 12 -1 -1 -1 -1 BCS
4 2 1 00000027 FFFFFFFF 1 12 -1 -1 -1 -1 BEQ
4 2 1 0000002C FFFFFFFF 1 12 -1 -1 -1 -1 BGE
4 2 1 0000002E FFFFFFFF 1 12 -1 -1 -1 -1 BGT
4 2 1 00000022 FFFFFFFF 1 12 -1 -1 -1 -1 BHI
4 2 1 00000024 FFFFFFFF 1 12 -1 -1 -1 -1 BHS
1 2 1 00000085 FFFFFFFF 1 0 -1 -1 -1 -1 BITA
2 2 1 00000095 FFFFFFFF 1 1 -1 -1 -1 -1 BITA
3 3 1 000000B5 FFFFFFFF 2 2 3 -1 -1 -1 BITA
5 2 1 000000A5 FFFFFFFF 1 4 -1 -1 -1 -1 BITA
6 3 1 000000A5 FFFFFFFF 2 4 6 -1 -1 -1 BITA
7 4 1 000000A5 FFFFFFFF 3 4 5 6 -1 -1 BITA
9 2 1 000000A5 FFFFFFFF 1 4 -1 -1 -1 -1 BITA
8 4 1 000000A5 FFFFFFFF 3 4 5 6 -1 -1 BITA
1 2 1 000000C5 FFFFFFFF 1 0 -1 -1 -1 -1 BITB
2 2 1 000000D5 FFFFFFFF 1 1 -1 -1 -1 -1 BITB
3 3 1 000000F5 FFFFFFFF 2 2 3 -1 -1 -1 BITB
5 2 1 000000E5 FFFFFFFF 1 4 -1 -1 -1 -1 BITB
6 3 1 000000E5 FFFFFFFF 2 4 6 -1 -1 -1 BITB
7 4 1 000000E5 FFFFFFFF 3 4 5 6 -1 -1 BITB
9 2 1 000000E5 FFFFFFFF 1 4 -1 -1 -1 -1 BITB
8 4 1 000000E5 FFFFFFFF 3 4 5 6 -1 -1 BITB
4 2 1 0000002F FFFFFFFF 1 12 -1 -1 -1 -1 BLE
4 2 1 00000025 FFFFFFFF 1 12 -1 -1 -1 -1 BLO
4 2 1 00000023 FFFFFFFF 1 12 -1 -1 -1 -1 BLS
4 2 1 0000002D FFFFFFFF 1 12 -1 -1 -1 -1 BLT
4 2 1 0000002B FFFFFFFF 1 12 -1 -1 -1 -1 BMI
4 2 1 00000026 FFFFFFFF 1 12 -1 -1 -1 -1 BNE
4 2 1 0000002A FFFFFFFF 1 12 -1 -1 -1 -1 BPL
4 2 1 00000020 FFFFFFFF 1 12 -1 -1 -1 -1 BRA
2 4 1 0000004F FFFFFFFF 3 1 9 12 -1 -1 BRCLR
3 5 1 0000001F FFFFFFFF 4 2 3 9 12 -1 BRCLR
5 4 1 0000000F FFFFFFFF 3 4 9 12 -1 -1 BRCLR
6 5 1 0000000F FFFFFFFF 4 4 6 9 12 -1 BRCLR
7 6 1 0000000F FFFFFFFF 5 4 5 6 9 12 BRCLR
4 2 1 00000021 FFFFFFFF 1 12 -1 -1 -1 -1 BRN
2 4 1 0000004E FFFFFFFF 3 1 9 12 -1 -1 BRSET
3 5 1 0000001E FFFFFFFF 4 2 3 9 12 -1 BRSET
5 4 1 0000000E FFFFFFFF 3 4 9 12 -1 -1 BRSET
6 5 1 0000000E FFFFFFFF 4 4 6 9 12 -1 BRSET
7 6 1 0000000E FFFFFFFF 5 4 5 6 9 12 BRSET
2 3 1 0000004C FFFFFFFF 2 1 9 -1 -1 -1 BSET
3 4 1 0000001C FFFFFFFF 3 2 3 9 -1 -1 BSET
5 3 1 0000000C FFFFFFFF 2 4 9 -1 -1 -1 BSET
6 4 1 0000000C FFFFFFFF 3 4 6 9 -1 -1 BSET
7 5 1 0000000C FFFFFFFF 4 4 5 6 9 -1 BSET
4 2 1 00000007 FFFFFFFF 1 12 -1 -1 -1 -1 BSR
4 2 1 00000028 FFFFFFFF 1 12 -1 -1 -1 -1 BVC
4 2 1 00000029 FFFFFFFF 1 12 -1 -1 -1 -1 BVS
3 4 1 0000004A FFFFFFFF 3 2 3 10 -1 -1 CALL
5 3 1 0000004B FFFFFFFF 2 4 10 -1 -1 -1 CALL
6 4 1 0000004B FFFFFFFF 3 4 6 10 -1 -1 CALL
7 5 1 0000004B FFFFFFFF 4 4 5 6 10 -1 CALL
9 2 1 0000004B FFFFFFFF 1 4 -1 -1 -1 -1 CALL
8 4 1 0000004B FFFFFFFF 3 4 5 6 -1 -1 CALL
0 2 2 00000018 00000017 0 -1 -1 -1 -1 -1 CBA
3 3 1 00000079 FFFFFFFF 2 2 3 -1 -1 -1 CLR
5 2 1 00000069 FFFFFFFF 1 4 -1 -1 -1 -1 CLR
6 3 1 00000069 FFFFFFFF 2 4 6 -1 -1 -1 CLR
7 4 1 00000069 FFFFFFFF 3 4 5 6 -1 -1 CLR
9 2 1 00000069 FFFFFFFF 1 4 -1 -1 -1 -1 CLR
8 4 1 00000069 FFFFFFFF 3 4 5 6 -1 -1 CLR
0 1 1 00000087 FFFFFFFF 0 -1 -1 -1 -1 -1 CLRA
0 1 1 000000C7 FFFFFFFF 0 -1 -1 -1 -1 -1 CLRB
1 2 1 00000081 FFFFFFFF 1 0 -1 -1 -1 -1 CMPA
2 2 1 00000091 FFFFFFFF 1 1 -1 -1 -1 -1 CMPA
3 3 1 000000B1 FFFFFFFF 2 2 3 -1 -1 -1 CMPA
5 2 1 000000A1 FFFFFFFF 1 4 -1 -1 -1 -1 CMPA
6 3 1 000000A1 FFFFFFFF 2 4 6 -1 -1 -1 CMPA
7 4 1 000000A1 FFFFFFFF 3 4 5 6 -1 -1 CMPA
9 2 1 000000A1 FFFFFFFF 1 4 -1 -1 -1 -1 CMPA
8 4 1 000000A1 FFFFFFFF 3 4 5 6 -1 -1 CMPA
1 2 1 000000C1 FFFFFFFF 1 0 -1 -1 -1 -1 CMPB
2 2 1 000000D1 FFFFFFFF 1 1 -1 -1 -1 -1 CMPB
3 3 1 000000F1 FFFFFFFF 2 2 3 -1 -1 -1 CMPB
5 2 1 000000E1 FFFFFFFF 1 4 -1 -1 -1 -1 CMPB
6 3 1 000000E1 FFFFFFFF 2 4 6 -1 -1 -1 CMPB
7 4 1 000000E1 FFFFFFFF 3 4 5 6 -1 -1 CMPB
9 2 1 000000E1 FFFFFFFF 1 4 -1 -1 -1 -1 CMPB
8 4 1 000000E1 FFFFFFFF 3 4 5 6 -1 -1 CMPB
3 3 1 00000071 FFFFFFFF 2 2 3 -1 -1 -1 COM
5 2 1 00000061 FFFFFFFF 1 4 -1 -1 -1 -1 COM
6 3 1 00000061 FFFFFFFF 2 4 6 -1 -1 -1 COM
7 4 1 00000061 FFFFFFFF 3 4 5 6 -1 -1 COM
